Darkness|暗闇
Stairs I (Stone, Right)|階段I（石・右）
Stairs I (Stone)|階段I（石）
Stairs J (Ruins, Left)|階段J（廃墟・左）
Stairs J (Ruins, Center)|階段J（廃墟・中央）
Stairs J (Ruins, Right)|階段J（廃墟・右）
Stairs J (Ruins)|階段J（廃墟）
Stairs K (Stone, Left)|階段K（石・左）
Stairs K (Stone, Center)|階段K（石・中央）
Stairs K (Stone, Right)|階段K（石・右）
Stairs K (Stone)|階段K（石）
Stairs L (Ruins, Left)|階段L（廃墟・左）
Stairs L (Ruins, Center)|階段L（廃墟・中央）
Stairs L (Ruins, Right)|階段L（廃墟・右）
Stairs L (Ruins)|階段L（廃墟）
Ground (Dirt Cave, Ruins)|床A（土洞窟・廃墟）
Ground (Rock Cave, Ruins)|床B（岩洞窟・廃墟）
Ground (Lava Cave, Ruins)|床C（溶岩洞窟・廃墟）
Ground (Ice Cave, Ruins)|床D（氷洞窟・廃墟）
Ground (Grass Maze, Ruins)|床E（草迷宮・廃墟）
Ground (Crystal, Ruins)|床F（水晶・廃墟）
Ground (In Body, Ruins)|床G（体内・廃墟）
Ground (Demonic World, Ruins)|床H（魔界・廃墟）
Cobblestones A (Ruins)|石畳A（廃墟）
Cobblestones B (Ruins)|石畳B（廃墟）
Cobblestones C (Ruins)|石畳C（廃墟）
Cobblestones D (Ruins)|石畳D（廃墟）
Cobblestones E (Ruins)|石畳E（廃墟）
Cobblestones F (Ruins)|石畳F（廃墟）
Cobblestones G (Ruins)|石畳G（廃墟）
Interior Floor A (Demon Castle, Ruins)|内装床A（魔王城・廃墟）
Cobblestones H (Ruins)|石畳H（廃墟）
Interior Floor B (Concrete, Ruins)|内装床B（コンクリート・廃墟）
Icy Ground B|氷の床B
Interior Floor D (Factory)|内装床D（工場）
Decorative Tile (Ruins)|舗装床（廃墟）
Cobblestones I (Ruins)|石畳I（廃墟）
Cobblestones J (Ruins)|石畳J（廃墟）
Decorative Tile (Ruins)|化粧タイル（廃墟）
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile B|大きなレリーフ床B
Large Relief Floor Tile B|大きなレリーフ床B
Directional Floor Tile A (Down)|方向床A（下）
Directional Floor Tile B (Up)|方向床B（上）
Relief Floor Tile A (Gold)|レリーフ床A（金）
Relief Floor Tile B (Gold)|レリーフ床B（金）
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile B|大きなレリーフ床B
Large Relief Floor Tile B|大きなレリーフ床B
Directional Floor Tile C (Left)|方向床C（左）
Directional Floor Tile D (Right)|方向床D（右）
Relief Floor Tile C (Gold)|レリーフ床C（金）
Relief Floor Tile D (Gold, Ruins)|レリーフ床D（金・廃墟）
