Transparent|透明
Large Monument (Lit)|大きな石碑（光）
Large Monument (Lit)|大きな石碑（光）
Statue A|石像A
Angel Statue A|天使像A
Angel Statue B|天使像B
Dais|台座
Statue B|石像B
Demon Statue|悪魔像
Dragon Statue|竜像
Dragon Statue|竜像
Statue A|石像A
Angel Statue A|天使像A
Angel Statue B|天使像B
Dais|台座
Statue B|石像B
Demon Statue|悪魔像
Dragon Statue|竜像
Dragon Statue|竜像
Large Gravel Mound A (Dirt)|大きな土砂A（土）
Large Gravel Mound A (Dirt)|大きな土砂A（土）
Large Gravel Mound B (Stone)|大きな土砂B（石）
Large Gravel Mound B (Stone)|大きな土砂B（石）
Large Gold Mound|大きな金の山
Large Gold Mound|大きな金の山
Large Silver Mound|大きな銀の山
Large Silver Mound|大きな銀の山
Large Gravel Mound A (Dirt)|大きな土砂A（土）
Large Gravel Mound A (Dirt)|大きな土砂A（土）
Large Gravel Mound B (Stone)|大きな土砂B（石）
Large Gravel Mound B (Stone)|大きな土砂B（石）
Large Gold Mound|大きな金の山
Large Gold Mound|大きな金の山
Large Silver Mound|大きな銀の山
Large Silver Mound|大きな銀の山
Gravel Mound (Dirt)|土砂A（土）
Gravel Mound (Stone)|土砂B（石）
Gold Bricks A|金の延べ棒A
Gold Bricks B|金の延べ棒B
Crate A (Dirt)|木箱A（土）
Crate B (Stone)|木箱B（石）
Crate C (Ruins)|木箱C（廃墟）
Pot A (Ruins)|壺A（廃墟）
Gold Mound|金の山
Silver Mound|銀の山
Silver Bricks A|銀の延べ棒A
Silver Bricks B|銀の延べ棒B
Crate D (Gold Dust)|木箱D（金）
Crate E (Silver Dust)|木箱E（銀）
Pot A|壺A
Pot B|壺B
Shovel|スコップ
Pickax|つるはし
Rope|ロープ
Mound of Gold Coins|金貨の山
Crate F|木箱F
Crate G|木箱G
Barrel A|樽A
Barrel B (Ruins)|樽B（廃墟）
Large Bones|大きな骸骨
Large Bones|大きな骸骨
Bones A|骸骨A
Table (Ruins)|テーブル（廃墟）
Jail Bars|鉄格子
Jail Bars|鉄格子
Jail Bars|鉄格子
Jail Bars|鉄格子
Large Bones|大きな骸骨
Large Bones|大きな骸骨
Bones B|骸骨B
Stool (Ruins)|椅子（廃墟）
Jail Bars|鉄格子
Jail Bars|鉄格子
Jail Bars|鉄格子
Jail Bars|鉄格子
