Darkness|暗闇
Cobblestones D (Ruins)|石畳D（廃墟）
Cobblestones E (Ruins)|石畳E（廃墟）
Cobblestones F (Ruins)|石畳F（廃墟）
Wood Floor E (Ruins)|木の床E（廃墟）
Wood Floor F (Ruins)|木の床F（廃墟）
Cobblestones G (Ruins)|石畳G（廃墟）
Cobblestones H (Ruins)|石畳H（廃墟）
Cobblestones I (Ruins)|石畳I（廃墟）
Cobblestones J (Ruins)|石畳J（廃墟）
Interior Floor A (Wood, Ruins)|内装床A（木製・廃墟）
Interior Floor B (Brick, Ruins)|内装床B（レンガ・廃墟）
Interior Floor C (Temple, Ruins)|内装床C（神殿・廃墟）
Interior Floor D (Stone, Ruins)|内装床D（石・廃墟）
Interior Floor E (Demon Castle, Ruins)|内装床E（魔王城・廃墟）
Interior Floor F (Concrete, Ruins)|内装床F（コンクリート・廃墟）
Interior Floor G (Tent, Ruins)|内装床G（テント・廃墟）
Interior Floor H (Dirt, Ruins)|内装床H（土・廃墟）
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile B|大きなレリーフ床B
Large Relief Floor Tile B|大きなレリーフ床B
Relief Floor Tile A (Silver)|レリーフ床A（銀）
Relief Floor Tile B (Silver)|レリーフ床B（銀）
Relief Floor Tile C (Gold)|レリーフ床C（金）
Relief Floor Tile D (Gold)|レリーフ床D（金）
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile A|大きなレリーフ床A
Large Relief Floor Tile B|大きなレリーフ床B
Large Relief Floor Tile B|大きなレリーフ床B
Relief Floor Tile E (Silver, Ruins)|レリーフ床E（銀・廃墟）
Relief Floor Tile F (Silver)|レリーフ床F（銀）
Relief Floor Tile G (Gold, Ruins)|レリーフ床G（金・廃墟）
Relief Floor Tile H (Gold)|レリーフ床H（金）

